rows=1000
cols=1000
(0, 0, -2)
(0, 10, -8)
(1, 5, -5)
(2, 3, -4)
(3, 900, -5)
(4, 400, 1)
(5, 50, -8)
(6, 60, -20)
(7, 70, -17)
(8, 80, -4)
(9, 90, -5)
(10, 100, -10)
(11, 110, -2)
(12, 120, -12)
(13, 130, -7)
(14, 140, -1)
(15, 150, 2)
(16, 160, -14)
(17, 170, -1)
(18, 180, -3)
(19, 190, -1)
(20, 200, -2)
(21, 210, -2)
(22, 220, -6)
(23, 230, -6)
(24, 240, 1)
(25, 250, -5)
(26, 260, -5)
(27, 270, 4)
(28, 280, -1)
(29, 290, -8)
(30, 300, 4)
(31, 310, -7)
(32, 320, -15)
(33, 330, -10)
(34, 340, 2)
(35, 350, -9)
(36, 360, -9)
(37, 370, -6)
(38, 380, 1)
(39, 390, -8)
(40, 400, -6)
(41, 410, -13)
(44, 440, 3)
(45, 450, 3)
(46, 460, -2)
(47, 470, 1)
(48, 480, -10)
(49, 490, 1)
(50, 500, -4)
(51, 510, 1)
(52, 520, -3)
(53, 530, 2)
(54, 540, 2)
(55, 550, -1)
(56, 560, -2)
(57, 570, 2)
(58, 580, -3)
(59, 590, -3)
(60, 600, -4)
(61, 610, -7)
(62, 620, -2)
(63, 630, -4)
(64, 640, -2)
(65, 650, -12)
(66, 660, -9)
(67, 670, 3)
(68, 680, -2)
(69, 690, 3)
(70, 700, -1)
(71, 710, -1)
(72, 720, -2)
(73, 730, -3)
(74, 740, -1)
(75, 750, -1)
(76, 760, -6)
(77, 770, -9)
(78, 780, -8)
(79, 790, -6)
(80, 800, -3)
(81, 810, 1)
(82, 820, 2)
(83, 830, -4)
(84, 840, 1)
(85, 850, -4)
(86, 860, -2)
(87, 870, -4)
(88, 880, -5)
(89, 890, -1)
(90, 900, 3)
(91, 910, -1)
(92, 920, 3)
(93, 930, 3)
(94, 940, -2)
(95, 950, 4)
(96, 960, -3)
(97, 970, -2)
(98, 980, -9)
(99, 990, -10)
